mv '/home/klotz/Documents/images/nexus-5-2016-10-23/X100T/2016_0610_12450000\(2\).jpg' '/home/klotz/Documents/images/nexus-5-2016-10-23/X100T/2016_0610_12450000\(2\)-Boats_in_the_Marina.jpg'
mv /home/klotz/Documents/images/2015-07-japan-hawaii/102_FUJI/DSCF2371.JPG /home/klotz/Documents/images/2015-07-japan-hawaii/102_FUJI/DSCF2371-Cat_on_a_Tower.JPG
mv /home/klotz/Documents/images/x100t/101_FUJI/DSCF1426.JPG /home/klotz/Documents/images/x100t/101_FUJI/DSCF1426-Customer_Service_at_a_Smoothie_Bar.JPG
mv /home/klotz/Documents/images/nexus-5-2016-10-23/Nexus5/IMG_20161006_204753.jpg /home/klotz/Documents/images/nexus-5-2016-10-23/Nexus5/IMG_20161006_204753-Older_Woman_Taking_Picture_of_Herself.jpg
mv /home/klotz/Documents/images/x100t/106_FUJI/DSCF6948.JPG /home/klotz/Documents/images/x100t/106_FUJI/DSCF6948-Black_and_Gray_Background.JPG
mv /home/klotz/Documents/images/2013-07/109_0726/IMG_0598.JPG /home/klotz/Documents/images/2013-07/109_0726/IMG_0598-Holding_Hands.JPG
mv /home/klotz/Documents/images/x100t/103_FUJI/DSCF3955.JPG /home/klotz/Documents/images/x100t/103_FUJI/DSCF3955-Photos_on_Wall.JPG
mv /home/klotz/Documents/images/android/1226538107835.jpg /home/klotz/Documents/images/android/1226538107835-Twilight_at_the_Park.jpg
mv /home/klotz/Documents/images/photo-recovery/photo-s1/f1526976.jpg /home/klotz/Documents/images/photo-recovery/photo-s1/f1526976-A_Good_Title_for_This_Image_Is.jpg
mv /home/klotz/Documents/images/x100t/103A_FUJI/DSCF3339.JPG /home/klotz/Documents/images/x100t/103A_FUJI/DSCF3339-Smiling_Girl_with_Short_Hair_and_Gray_Sh.JPG
mv /home/klotz/Documents/images/x100t/105_FUJI/DSCF5025.JPG /home/klotz/Documents/images/x100t/105_FUJI/DSCF5025-Seagull_Flying_Over_Lake.JPG
mv '/home/klotz/Documents/images/android/2010-07-21 18.02.46.jpg' '/home/klotz/Documents/images/android/2010-07-21T18:02:46-spectator_Top_Value.jpg'
mv '/home/klotz/Documents/images/x100v/107_FUJI/DSCF9922.JPG' '/home/klotz/Documents/images/x100v/107_FUJI/DSCF9922-Computer_Desk_with_Monitor_and_Keyboard.JPG'
mv /home/klotz/Documents/images/x100t/102A_FUJI/20150712-0132-001.JPG /home/klotz/Documents/images/x100t/102A_FUJI/20150712-0132-001-Tuna_Sushi.JPG
mv /home/klotz/Documents/images/x100t/102A_FUJI/20150712-0132-003.JPG /home/klotz/Documents/images/x100t/102A_FUJI/20150712-0132-003-apanese_Sushi_Bento_Box_with_a.JPG
mv /home/klotz/Documents/images/x100v/108_FUJI/DSCF0005.JPG /home/klotz/Documents/images/x100v/108_FUJI/DSCF0005-Yellow_and_Green_Plants.JPG
mv /home/klotz/Documents/images/x100t/104_FUJI/DSCF4404.JPG /home/klotz/Documents/images/x100t/104_FUJI/DSCF4404-A_boy_sitting_on_the_floor_with_a_trophy.JPG
mv /home/klotz/Documents/images/android/1225394405050.jpg /home/klotz/Documents/images/android/1225394405050-plate_of_food.jpg
mv /home/klotz/Documents/images/nexus-5-2016-10-23/Nexus5/IMG_20160819_194451.jpg /home/klotz/Documents/images/nexus-5-2016-10-23/Nexus5/IMG_20160819_194451-Schedule_for_a_nday.jpg
mv /home/klotz/Documents/images/x100t/104_FUJI/DSCF4069.JPG /home/klotz/Documents/images/x100t/104_FUJI/DSCF4069-sunset_over_the_trees.JPG
mv /home/klotz/Documents/images/x100t/102A_FUJI/20150711-1846-000.JPG /home/klotz/Documents/images/x100t/102A_FUJI/20150711-1846-000-Collection_of_Different_Knives.JPG
mv /home/klotz/Documents/images/x100t/102A_FUJI/20150711-2231-001.JPG /home/klotz/Documents/images/x100t/102A_FUJI/20150711-2231-001-Smiling_Man_Holding_Tomatoes.JPG
mv '/home/klotz/Documents/images/android/2009-11-07 16.16.07.jpg' '/home/klotz/Documents/images/android/2009-11-07T16:16:07-Giant_Airship_Flying_in_the_Sky.jpg'
mv /home/klotz/Documents/images/x100t/106_FUJI/DSCF6959.JPG /home/klotz/Documents/images/x100t/106_FUJI/DSCF6959-Black_and_Gray_Background.JPG
mv /home/klotz/Documents/images/calendar-2012/collage1.tif /home/klotz/Documents/images/calendar-2012/collage1-Family_Photo_Album.tif
mv /home/klotz/Documents/images/x100t/106_FUJI/DSCF6588.JPG /home/klotz/Documents/images/x100t/106_FUJI/DSCF6588-Let_It_Snow.JPG
mv /home/klotz/Documents/images/x100t/103A_FUJI/DSCF3660.JPG /home/klotz/Documents/images/x100t/103A_FUJI/DSCF3660-Keyboard_with_a_bunch_of_buttons.JPG
mv /home/klotz/Documents/images/nexus-5-2016-10-23/X100T/2016_0617_16314200.jpg /home/klotz/Documents/images/nexus-5-2016-10-23/X100T/2016_0617_16314200-Arcade_Games.jpg
mv /home/klotz/Documents/images/x100t/103_FUJI/DSCF3976.JPG /home/klotz/Documents/images/x100t/103_FUJI/DSCF3976-Teenagers_Gathered_Around_A_Table.JPG
mv /home/klotz/Documents/images/x100t/2019-08-raf/20190818-0543-000.jpg /home/klotz/Documents/images/x100t/2019-08-raf/20190818-0543-000-Mountain_View.jpg
mv '/home/klotz/Documents/images/android/2009-09-13 15.31.37.jpg' '/home/klotz/Documents/images/android/2009-09-13T15:31:37-Two_Children_Eating_Cotton_Candy.jpg'
mv /home/klotz/Documents/images/2004feb14/DSC01766.JPG /home/klotz/Documents/images/2004feb14/DSC01766-Child_and_Toddler_Sleeping_Together.JPG
mv /home/klotz/Documents/images/nexus-5-2016-10-23/Nexus5/IMG_20160315_161544.jpg /home/klotz/Documents/images/nexus-5-2016-10-23/Nexus5/IMG_20160315_161544-Book_Store.jpg
mv /home/klotz/Documents/images/x100v/107_FUJI/DSCF9723.JPG /home/klotz/Documents/images/x100v/107_FUJI/DSCF9723-Tree_with_no_leaves.JPG
mv /home/klotz/Documents/images/2015-07-japan-hawaii/102_FUJI/DSCF2431.JPG /home/klotz/Documents/images/2015-07-japan-hawaii/102_FUJI/DSCF2431-The_Kitchen_of_a_Restaurant.JPG
mv /home/klotz/Documents/images/x100t/104_FUJI/DSCF4097.JPG /home/klotz/Documents/images/x100t/104_FUJI/DSCF4097-Blue_Vase_with_Palm_Tree_Design.JPG
mv /home/klotz/Documents/images/x100t/104_FUJI/DSCF4793.JPG /home/klotz/Documents/images/x100t/104_FUJI/DSCF4793-Robot_with_Wires.JPG
mv '/home/klotz/Documents/images/android/2009-10-17 17.06.39.jpg' '/home/klotz/Documents/images/android/2009-10-17T17:06:39-Skateboarding_Rink.jpg'
mv /home/klotz/Documents/images/nexus-5-2016-10-23/X100T/2016_0612_12485700.jpg /home/klotz/Documents/images/nexus-5-2016-10-23/X100T/2016_0612_12485700-Two_Women_in_a_Kitchen.jpg
mv /home/klotz/Documents/images/x100v/108_FUJI/DSCF8031.JPG /home/klotz/Documents/images/x100v/108_FUJI/DSCF8031-hanging_lights.JPG
mv /home/klotz/Documents/images/x100t/104_FUJI/DSCF4459.JPG /home/klotz/Documents/images/x100t/104_FUJI/DSCF4459-Student_Working_on_Laptop.JPG
mv /home/klotz/Documents/images/2015-07-japan-hawaii/102_FUJI/DSCF2861.JPG /home/klotz/Documents/images/2015-07-japan-hawaii/102_FUJI/DSCF2861-Smiling_Teenagers.JPG
mv /home/klotz/Documents/images/M1_20081122_1224.png /home/klotz/Documents/images/M1_20081122_1224-occer_Game.png
mv '/home/klotz/Documents/images/android/2009-09-06 19.35.51.jpg' '/home/klotz/Documents/images/android/2009-09-06T19:35:51-Box_with_a_screw.jpg'
mv /home/klotz/Documents/images/x100v/107_FUJI/DSCF9813.JPG /home/klotz/Documents/images/x100v/107_FUJI/DSCF9813-Smiling_girl_holding_stack_of_books.JPG
mv /home/klotz/Documents/images/x100t/100_FUJI/DSCF0130.JPG /home/klotz/Documents/images/x100t/100_FUJI/DSCF0130-Friendly_Smiles.JPG
mv /home/klotz/Documents/images/x100t/100_FUJI/DSCF0459.JPG /home/klotz/Documents/images/x100t/100_FUJI/DSCF0459-Tree_in_front_of_building.JPG
mv /home/klotz/Documents/images/2015-07-japan-hawaii/102_FUJI/DSCF2637.JPG /home/klotz/Documents/images/2015-07-japan-hawaii/102_FUJI/DSCF2637-flag_with_chinese_writing.JPG
mv /home/klotz/Documents/images/x100t/103A_FUJI/DSCF3794.JPG /home/klotz/Documents/images/x100t/103A_FUJI/DSCF3794-Smiling_Woman_in_Kitchen.JPG
mv /home/klotz/Documents/images/x100t/101_FUJI/DSCF1445.JPG /home/klotz/Documents/images/x100t/101_FUJI/DSCF1445-Close_up_of_a_purple_flower_with_yellow_center.JPG
mv /home/klotz/Documents/images/x100t/101_FUJI/DSCF1782.JPG /home/klotz/Documents/images/x100t/101_FUJI/DSCF1782-comotrain_nd_red_train.JPG
mv /home/klotz/Documents/images/x100v/107_FUJI/DSCF9646.JPG /home/klotz/Documents/images/x100v/107_FUJI/DSCF9646-pond_with_ducks.JPG
mv /home/klotz/Documents/images/x100v/107_FUJI/DSCF9576.JPG /home/klotz/Documents/images/x100v/107_FUJI/DSCF9576-Reflection_of_Sun_on_the_Water.JPG
mv /home/klotz/Documents/images/nexus-5-2016-10-23/Nexus5/IMG_20160912_121822.jpg /home/klotz/Documents/images/nexus-5-2016-10-23/Nexus5/IMG_20160912_121822-plate_of_food.jpg
mv /home/klotz/Documents/images/x100t/102A_FUJI/20150710-2307-000.JPG /home/klotz/Documents/images/x100t/102A_FUJI/20150710-2307-000-View_of_a_city_from_a_hill.JPG
mv '/home/klotz/Documents/images/android/2009-07-01 15.10.25.jpg' '/home/klotz/Documents/images/android/2009-07-01-15.10.25-Pointing_at_the_Pond.jpg'
mv /home/klotz/Documents/images/x100t/106_FUJI/20190817-0612-002.jpg /home/klotz/Documents/images/x100t/106_FUJI/20190817-0612-002-Black_Background.jpg
mv /home/klotz/Documents/images/x100v/108_FUJI/DSCF0123.JPG /home/klotz/Documents/images/x100v/108_FUJI/DSCF0123-Pathway_to_the_Top.JPG
mv /home/klotz/Documents/images/photo-recovery/photo-s1/f1709568.jpg /home/klotz/Documents/images/photo-recovery/photo-s1/f1709568-join_allied_to_dsdd.jpg
mv /home/klotz/Documents/images/x100t/100_FUJI/DSCF0641.JPG /home/klotz/Documents/images/x100t/100_FUJI/DSCF0641-Red_Cabinet_with_Designs_on_Top.JPG
mv /home/klotz/Documents/images/x100t/100_FUJI/DSCF0728.JPG /home/klotz/Documents/images/x100t/100_FUJI/DSCF0728-Sidewalk_with_a_Tile_Ramp.JPG
mv /home/klotz/Documents/images/x100t/104_FUJI/DSCF4855.JPG /home/klotz/Documents/images/x100t/104_FUJI/DSCF4855-Cloudy_day_at_the_fair.JPG
mv /home/klotz/Documents/images/photo-recovery/photo-s2/f2171136.jpg /home/klotz/Documents/images/photo-recovery/photo-s2/f2171136-The_Woman_is_Reading_a_Newspaper.jpg
mv /home/klotz/Documents/images/x100t/105_FUJI/DSCF5068.JPG /home/klotz/Documents/images/x100t/105_FUJI/DSCF5068-train_bridge_over_a_path.JPG
mv /home/klotz/Documents/images/x100t/102A_FUJI/20150718-1726-001.JPG /home/klotz/Documents/images/x100t/102A_FUJI/20150718-1726-001-Three_friends_posing_for_a_picture_at_a_table.JPG
mv /home/klotz/Documents/images/x100v/107_FUJI/DSCF9738.JPG /home/klotz/Documents/images/x100v/107_FUJI/DSCF9738-Autumn_Leaves_on_a_Tree.JPG
mv /home/klotz/Documents/images/x100t/106_FUJI/DSCF6977.JPG /home/klotz/Documents/images/x100t/106_FUJI/DSCF6977-Black_and_Gray_Background.JPG
mv /home/klotz/Documents/images/hallmark/break.jpg /home/klotz/Documents/images/hallmark/break-Broken_Parts.jpg
mv /home/klotz/Documents/images/nexus-5-2016-10-23/X100T/2016_0624_14260400.jpg /home/klotz/Documents/images/nexus-5-2016-10-23/X100T/2016_0624_14260400-LABDA_VCR.jpg
mv /home/klotz/Documents/images/x100t/104_FUJI/DSCF4488.JPG /home/klotz/Documents/images/x100t/104_FUJI/DSCF4488-Single_Flower.JPG
mv /home/klotz/Documents/images/2013-07/103_0717/IMG_0314.JPG /home/klotz/Documents/images/2013-07/103_0717/IMG_0314-Surfing_in_the_Ocean.JPG
mv '/home/klotz/Documents/images/android/2009-09-06 16.16.03.jpg' '/home/klotz/Documents/images/android/2009-09-06-16.16.03-Green_Circuit_Board.jpg'
mv /home/klotz/Documents/images/x100v/108_FUJI/DSCF0731.JPG /home/klotz/Documents/images/x100v/108_FUJI/DSCF0731-A_Clear_Day_at_the_Beach.JPG
mv /home/klotz/Documents/images/nexus-5-2016-10-23/Nexus5/IMG_20160312_201054.jpg /home/klotz/Documents/images/nexus-5-2016-10-23/Nexus5/IMG_20160312_201054-plate_of_food.jpg
mv /home/klotz/Documents/images/x100t/103A_FUJI/DSCF3402.JPG /home/klotz/Documents/images/x100t/103A_FUJI/DSCF3402-Women_looking_at_a_cell_phone.JPG
mv /home/klotz/Documents/images/2013-07/107_0721/IMG_0517.JPG /home/klotz/Documents/images/2013-07/107_0721/IMG_0517-Two_Men_Playing_Ping_Pong_Outside.JPG
mv '/home/klotz/Documents/images/android/2009-08-20 07.48.40.jpg' '/home/klotz/Documents/images/android/2009-08-20-07.48.40-Remember_Our_Veterans.jpg'
mv /home/klotz/Documents/images/android/IMG_20101103_092818.jpg /home/klotz/Documents/images/android/IMG_20101103_092818-Bricks_and_Salt.jpg
mv /home/klotz/Documents/images/2003oct12/img00004.jpg /home/klotz/Documents/images/2003oct12/img00004-Smiling_Boy_in_a_Blue_Shirt.jpg
mv /home/klotz/Documents/images/x100v/107_FUJI/DSCF9422.JPG /home/klotz/Documents/images/x100v/107_FUJI/DSCF9422-Calm_waters_of_a_lake_with_a_grassy.JPG
mv /home/klotz/Documents/images/2002jun1/becky.jpg /home/klotz/Documents/images/2002jun1/becky-Family_Playing_with_Dolmv.jpg
mv /home/klotz/Documents/images/x100t/104_FUJI/DSCF4940.JPG /home/klotz/Documents/images/x100t/104_FUJI/DSCF4940-large_crowd_of_people_in_a_field.JPG
mv /home/klotz/Documents/images/x100v/107_FUJI/DSCF9149.JPG /home/klotz/Documents/images/x100v/107_FUJI/DSCF9149-Student_working_on_laptop.JPG
mv /home/klotz/Documents/images/x100v/107_FUJI/DSCF9880.JPG /home/klotz/Documents/images/x100v/107_FUJI/DSCF9880-The_River.JPG
mv /home/klotz/Documents/images/android/IMG_20101223_210529.jpg /home/klotz/Documents/images/android/IMG_20101223_210529-Smiling_Woman_in_a_Dark_Room.jpg
mv /home/klotz/Documents/images/nexus-5-2016-10-23/Nexus5/IMG_20160101_184228.jpg /home/klotz/Documents/images/nexus-5-2016-10-23/Nexus5/IMG_20160101_184228-Chef_with_a_smile_holding_a_glass_of_be.jpg
mv /home/klotz/Documents/images/photo-recovery/photo-s2/f2265216.jpg /home/klotz/Documents/images/photo-recovery/photo-s2/f2265216-Person_Cutting_A_Circuit_Board.jpg
mv /home/klotz/Documents/images/x100t/102A_FUJI/20150711-2211-000.JPG /home/klotz/Documents/images/x100t/102A_FUJI/20150711-2211-000-tree_with_pink_and_green_flag.JPG
mv /home/klotz/Documents/images/x100v/108_FUJI/DSCF0332.JPG /home/klotz/Documents/images/x100v/108_FUJI/DSCF0332-Calm_Ocean_Shore.JPG
mv /home/klotz/Documents/images/x100t/100_FUJI/DSCF0575.JPG /home/klotz/Documents/images/x100t/100_FUJI/DSCF0575-Yellow_Flowers_in_a_Vase.JPG
mv /home/klotz/Documents/images/x100v/108_FUJI/DSCF0117.JPG /home/klotz/Documents/images/x100v/108_FUJI/DSCF0117-Purple_Flowers.JPG
mv /home/klotz/Documents/images/2002jun23-leighsr/dsc00036.jpg /home/klotz/Documents/images/2002jun23-leighsr/dsc00036-Pool_Fun.jpg
mv /home/klotz/Documents/images/x100v/107_FUJI/DSCF9400.JPG /home/klotz/Documents/images/x100v/107_FUJI/DSCF9400-Grassy_Shore.JPG
mv /home/klotz/Documents/images/x100t/101_FUJI/DSCF1606.JPG /home/klotz/Documents/images/x100t/101_FUJI/DSCF1606-Yellow_Line_on_the_Road.JPG
mv /home/klotz/Documents/images/2013-07/103_0717/IMG_0317.JPG /home/klotz/Documents/images/2013-07/103_0717/IMG_0317-Swimming_in_the_Ocean.JPG
mv /home/klotz/Documents/images/photo-recovery/photo-s2/f2212160.jpg /home/klotz/Documents/images/photo-recovery/photo-s2/f2212160-boy_lying_on_the_floor.jpg
mv /home/klotz/Documents/images/x100v/108_FUJI/DSCF0996.JPG /home/klotz/Documents/images/x100v/108_FUJI/DSCF0996-Christmas_Decorations_in_the_Yard.JPG
mv /home/klotz/Documents/images/x100v/108_FUJI/DSCF0270.JPG /home/klotz/Documents/images/x100v/108_FUJI/DSCF0270-Runner_on_a_path_in_the_middle_of_a_field.JPG
mv /home/klotz/Documents/images/2002jun23-leighsr/dsc00056.jpg /home/klotz/Documents/images/2002jun23-leighsr/dsc00056-Poomvide_with_a_Man_and_Child.jpg
mv /home/klotz/Documents/images/calendar-2012/collage2.jpg /home/klotz/Documents/images/calendar-2012/collage2-Family_Photos.jpg
mv /home/klotz/Documents/images/2013-07/110_0727/IMG_0615.JPG /home/klotz/Documents/images/2013-07/110_0727/IMG_0615-Bricks_and_a_Cell_Phone.JPG
mv /home/klotz/Documents/images/x100t/chapman-toss/00000021.png /home/klotz/Documents/images/x100t/chapman-toss/00000021-graduation_ceremony.png
mv /home/klotz/Documents/images/photo-recovery/photo-s1/f0821504.jpg /home/klotz/Documents/images/photo-recovery/photo-s1/f0821504-Cartoon_Drawing_of_a_Girl.jpg
mv /home/klotz/Documents/images/x100t/104_FUJI/DSCF4058.JPG /home/klotz/Documents/images/x100t/104_FUJI/DSCF4058-Plastic_Inc_Store_at_Night.JPG
mv /home/klotz/Documents/images/x100t/104_FUJI/DSCF4644.JPG /home/klotz/Documents/images/x100t/104_FUJI/DSCF4644-Water_Droplets_on_Leaves.JPG
mv /home/klotz/Documents/images/x100t/105_FUJI/DSCF5254.JPG /home/klotz/Documents/images/x100t/105_FUJI/DSCF5254-SYMBOLICS_xtl_xt.JPG
mv /home/klotz/Documents/images/x100t/101_FUJI/DSCF1178.JPG /home/klotz/Documents/images/x100t/101_FUJI/DSCF1178-bridge_over_water.JPG
mv /home/klotz/Documents/images/x100t/104_FUJI/DSCF4262.JPG /home/klotz/Documents/images/x100t/104_FUJI/DSCF4262-Springtime_Blossoms.JPG
mv /home/klotz/Documents/images/S2_20081122_1049.png /home/klotz/Documents/images/S2_20081122_1049-Blue_Sky.png
mv /home/klotz/Documents/images/x100t/102A_FUJI/20150709-1940-001.JPG /home/klotz/Documents/images/x100t/102A_FUJI/20150709-1940-001-seniors_walking_through_a_mall.JPG
mv /home/klotz/Documents/images/pix-from-skg4-more/20131207_122341.jpg /home/klotz/Documents/images/pix-from-skg4-more/20131207_122341-The_World_War_II_Veterans.jpg
mv /home/klotz/Documents/images/nexus-5-2016-10-23/Nexus5/IMG_20160608_150202.jpg /home/klotz/Documents/images/nexus-5-2016-10-23/Nexus5/IMG_20160608_150202-Errors_in_the_Execution_of_Blocks.jpg
mv /home/klotz/Documents/images/x100t/101_FUJI/DSCF1649.JPG /home/klotz/Documents/images/x100t/101_FUJI/DSCF1649-Field_of_Grass.JPG
mv /home/klotz/Documents/images/x100t/2019-08-raf/20190818-0548-000.jpg /home/klotz/Documents/images/x100t/2019-08-raf/20190818-0548-000-looking_over_a_fence.jpg
mv /home/klotz/Documents/images/x100v/108_FUJI/DSCF0616.JPG /home/klotz/Documents/images/x100v/108_FUJI/DSCF0616-Graduation_Night.JPG
mv /home/klotz/Documents/images/x100v/107_FUJI/DSCF9944.JPG /home/klotz/Documents/images/x100v/107_FUJI/DSCF9944-Root_System_of_a_Tree.JPG
mv /home/klotz/Documents/images/x100t/106_FUJI/20190817-0604-001.jpg /home/klotz/Documents/images/x100t/106_FUJI/20190817-0604-001-Black_Background.jpg
mv /home/klotz/Documents/images/2003oct12/img00007.jpg /home/klotz/Documents/images/2003oct12/img00007-Broken_Lamp.jpg
mv /home/klotz/Documents/images/nexus-5-2016-10-23/Nexus5/IMG_20160408_154038.jpg /home/klotz/Documents/images/nexus-5-2016-10-23/Nexus5/IMG_20160408_154038-Vintage_Tiles_and_Basket.jpg
mv /home/klotz/Documents/images/x100t/100_FUJI/DSCF0667.JPG /home/klotz/Documents/images/x100t/100_FUJI/DSCF0667-American_Flag_on_a_Building.JPG
mv /home/klotz/Documents/images/2015-07-japan-hawaii/102_FUJI/DSCF2922.JPG /home/klotz/Documents/images/2015-07-japan-hawaii/102_FUJI/DSCF2922-Red_Flower_in_the_Sun.JPG
mv /home/klotz/Documents/images/2013-07/103_0717/IMG_0273.JPG /home/klotz/Documents/images/2013-07/103_0717/IMG_0273-Two_People_Swimming_in_Ocean.JPG
mv /home/klotz/Documents/images/x100t/100_FUJI/DSCF0360.JPG /home/klotz/Documents/images/x100t/100_FUJI/DSCF0360-Blue_Window_with_a_Blue_Tuba.JPG
mv /home/klotz/Documents/images/x100t/103A_FUJI/DSCF3164.JPG /home/klotz/Documents/images/x100t/103A_FUJI/DSCF3164-graffiti_on_a_wall.JPG
mv /home/klotz/Documents/images/x100t/101_FUJI/DSCF1180.JPG /home/klotz/Documents/images/x100t/101_FUJI/DSCF1180-Smiling_Teenagers_at_a_Restaurant.JPG
mv /home/klotz/Documents/images/rob-leigh.jpg /home/klotz/Documents/images/rob-leigh-Two_men_sitting_at_a_table.jpg
mv /home/klotz/Documents/images/S2_20081122_1452.png /home/klotz/Documents/images/S2_20081122_1452-Pixelated_Screen_of_a_Video_Game.png
mv /home/klotz/Documents/images/x100v/107_FUJI/DSCF9999.JPG /home/klotz/Documents/images/x100v/107_FUJI/DSCF9999-Box_of_Plants.JPG
mv /home/klotz/Documents/images/x100v/108_FUJI/DSCF0968.JPG /home/klotz/Documents/images/x100v/108_FUJI/DSCF0968-Bamboo_spoon_in_a_basket.JPG
mv /home/klotz/Documents/images/2003dec-2004jan/img00051.jpg /home/klotz/Documents/images/2003dec-2004jan/img00051-Christmas_Gifts.jpg
mv /home/klotz/Documents/images/x100t/101_FUJI/DSCF1104.JPG /home/klotz/Documents/images/x100t/101_FUJI/DSCF1104-Holding_a_baby_fox.JPG
mv /home/klotz/Documents/images/lcp-exercise.png /home/klotz/Documents/images/lcp-exercise-The_House_of_the_Future.png
mv /home/klotz/Documents/images/nexus-5-2016-10-23/Nexus5/IMG_20160608_091422.jpg /home/klotz/Documents/images/nexus-5-2016-10-23/Nexus5/IMG_20160608_091422-DataBrick_Just_In_Time_Data_Platform.jpg
mv /home/klotz/Documents/images/x100t/105_FUJI/DSCF5185.JPG /home/klotz/Documents/images/x100t/105_FUJI/DSCF5185-Video_Game_Arcade.JPG
mv /home/klotz/Documents/images/x100v/108_FUJI/DSCF0604.JPG /home/klotz/Documents/images/x100v/108_FUJI/DSCF0604-graduation_ceremony.JPG
mv '/home/klotz/Documents/images/android/2009-11-22 17.35.11.jpg' '/home/klotz/Documents/images/android/2009-11-22-17.35.11-Supports_Chess.jpg'
mv /home/klotz/Documents/images/pix-from-skg4-more/20131207_122625.jpg /home/klotz/Documents/images/pix-from-skg4-more/20131207_122625-stabbed_in_the_stomach.jpg
mv /home/klotz/Documents/images/x100v/107_FUJI/DSCF9533.JPG /home/klotz/Documents/images/x100v/107_FUJI/DSCF9533-Holding_a_Fake_Red_Leaf.JPG
mv /home/klotz/Documents/images/x100t/101_FUJI/DSCF1151.JPG /home/klotz/Documents/images/x100t/101_FUJI/DSCF1151-log_in_water.JPG
mv /home/klotz/Documents/images/android/IMG_20101022_143615.jpg /home/klotz/Documents/images/android/IMG_20101022_143615-lab_equipment.jpg
mv '/home/klotz/Documents/images/android/2010-06-07 18.25.54.jpg' '/home/klotz/Documents/images/android/2010-06-07-18.25.54-Building_a_Toy.jpg'
mv /home/klotz/Documents/images/photo-recovery/photo-s3/f2539904.jpg /home/klotz/Documents/images/photo-recovery/photo-s3/f2539904-KBEC_ether.jpg
mv /home/klotz/Documents/images/nexus-5-2016-10-23/Nexus5/IMG_20160513_115633.jpg /home/klotz/Documents/images/nexus-5-2016-10-23/Nexus5/IMG_20160513_115633-electcraft_px_xtreme.jpg
